Measure,Port Name,Year of Date,Value
Bus Passengers,San Luis,2003,829
Bus Passengers,Roma,2003,50521
Bus Passengers,Rio Grande City,2003,0
Bus Passengers,Progreso,2003,15674
Bus Passengers,Presidio,2003,3020
Bus Passengers,Otay Mesa,2003,303756
Bus Passengers,Nogales,2003,156406
Bus Passengers,Naco,2003,2625
Bus Passengers,Lukeville,2003,4488
Bus Passengers,Laredo,2003,748644
Bus Passengers,Hidalgo,2003,655430
Bus Passengers,El Paso,2003,392718
Bus Passengers,Eagle Pass,2003,11450
Bus Passengers,Douglas,2003,45549
Bus Passengers,Del Rio,2003,4178
Bus Passengers,Columbus,2003,9220
Bus Passengers,Calexico East,2003,6327
Bus Passengers,Calexico,2003,13269
Bus Passengers,Brownsville,2003,61355
Bus Passengers,Andrade,2003,1705
Bus Passengers,Tornillo,2002,0
Bus Passengers,Tecate,2002,8730
Bus Passengers,Sasabe,2002,0
Bus Passengers,Santa Teresa,2002,4059
Bus Passengers,San Ysidro,2002,1199630
Bus Passengers,San Luis,2002,1149
Bus Passengers,Roma,2002,64900
Bus Passengers,Rio Grande City,2002,66
Bus Passengers,Progreso,2002,16914
Bus Passengers,Presidio,2002,2970
Bus Passengers,Otay Mesa,2002,546493
Bus Passengers,Nogales,2002,125264
Bus Passengers,Naco,2002,376
Bus Passengers,Lukeville,2002,7250
Bus Passengers,Laredo,2002,757459
Bus Passengers,Hidalgo,2002,632923
Bus Passengers,El Paso,2002,351335
Bus Passengers,Eagle Pass,2002,24438
Bus Passengers,Douglas,2002,43791
Bus Passengers,Del Rio,2002,6593
Bus Passengers,Columbus,2002,5892
Bus Passengers,Calexico East,2002,7987
Bus Passengers,Calexico,2002,48311
Bus Passengers,Brownsville,2002,67059
Bus Passengers,Andrade,2002,2565
Bus Passengers,Tornillo,2001,0
Bus Passengers,Tecate,2001,9118
Bus Passengers,Sasabe,2001,0
Bus Passengers,Santa Teresa,2001,1079
Bus Passengers,San Ysidro,2001,897047
Bus Passengers,San Luis,2001,912
Bus Passengers,Roma,2001,84918
Bus Passengers,Rio Grande City,2001,2
Bus Passengers,Progreso,2001,18588
Bus Passengers,Presidio,2001,3310
Bus Passengers,Otay Mesa,2001,457980
Bus Passengers,Nogales,2001,126530
Bus Passengers,Naco,2001,0
Bus Passengers,Lukeville,2001,21537
Bus Passengers,Laredo,2001,720559
Bus Passengers,Hidalgo,2001,659450
Bus Passengers,El Paso,2001,195399
Bus Passengers,Eagle Pass,2001,22295
Bus Passengers,Douglas,2001,25739
Bus Passengers,Del Rio,2001,6853
Bus Passengers,Columbus,2001,2232
Bus Passengers,Calexico East,2001,7647
Bus Passengers,Calexico,2001,27493
Bus Passengers,Brownsville,2001,74988
Bus Passengers,Andrade,2001,3119
Bus Passengers,Tornillo,2000,0
Bus Passengers,Tecate,2000,11563
Bus Passengers,Sasabe,2000,0
Bus Passengers,Santa Teresa,2000,995
Bus Passengers,San Ysidro,2000,783762
Bus Passengers,San Luis,2000,1039
Bus Passengers,Roma,2000,99284
Bus Passengers,Rio Grande City,2000,0
Bus Passengers,Progreso,2000,17683
Bus Passengers,Presidio,2000,3700
Bus Passengers,Otay Mesa,2000,845775
Bus Passengers,Nogales,2000,136471
Bus Passengers,Naco,2000,0
Bus Passengers,Lukeville,2000,15763
Bus Passengers,Laredo,2000,608184
Bus Passengers,Hidalgo,2000,648751
Bus Passengers,El Paso,2000,155493
Bus Passengers,Eagle Pass,2000,8568
Bus Passengers,Douglas,2000,13762
Bus Passengers,Del Rio,2000,7053
Bus Passengers,Columbus,2000,405
Bus Passengers,Calexico East,2000,6885
Bus Passengers,Calexico,2000,19367
Bus Passengers,Brownsville,2000,78032
Bus Passengers,Andrade,2000,3381
Bus Passengers,Tornillo,1999,0
Bus Passengers,Tecate,1999,10593
Bus Passengers,Sasabe,1999,0
Bus Passengers,Santa Teresa,1999,955
Bus Passengers,San Ysidro,1999,854098
Bus Passengers,San Luis,1999,1907
Bus Passengers,Roma,1999,103478
Bus Passengers,Rio Grande City,1999,0
Bus Passengers,Progreso,1999,16327
Bus Passengers,Presidio,1999,4070
Bus Passengers,Otay Mesa,1999,312342
Bus Passengers,Nogales,1999,75976
Bus Passengers,Naco,1999,0
Bus Passengers,Lukeville,1999,19305
Bus Passengers,Laredo,1999,379425
Bus Passengers,Hidalgo,1999,1247191
Bus Passengers,El Paso,1999,133974
Bus Passengers,Eagle Pass,1999,3280
Bus Passengers,Douglas,1999,3650
Bus Passengers,Del Rio,1999,7042
Bus Passengers,Columbus,1999,622
Bus Passengers,Calexico East,1999,6702
Bus Passengers,Calexico,1999,29194
Bus Passengers,Brownsville,1999,145298
Bus Passengers,Andrade,1999,2689
